timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path,is_sqli,is_xss
2024-11-21T00:00:00.000Z,187.14.173.168,192.168.1.78,HTTP,allowed,malicious,firewall,2538,curl/7.64.1,/api/login?DROP TABLE,true,false
2024-01-05T00:00:00.000Z,192.168.1.210,192.168.1.31,SSH,blocked,malicious,application,4741,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/home/user?DROP TABLE,true,false
2024-01-18T00:00:00.000Z,62.225.146.243,192.168.1.133,HTTP,allowed,malicious,application,15779,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/admin?DROP TABLE,true,false
2024-11-16T00:00:00.000Z,109.47.72.119,192.168.1.218,TCP,blocked,malicious,ids,23014,SQLMap/1.6-dev,/?DROP TABLE,true,false
2024-02-26T00:00:00.000Z,59.151.57.2,192.168.1.157,HTTPS,allowed,malicious,application,7008,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/login?UNION SELECT,true,false
2024-12-21T00:00:00.000Z,192.168.1.234,192.168.1.253,SSH,allowed,malicious,application,3031,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/bin/bash?UNION SELECT,true,false
2024-02-25T00:00:00.000Z,192.168.1.166,192.168.1.64,SSH,allowed,malicious,firewall,2438,SQLMap/1.6-dev,/root?UNION SELECT,true,false
2024-12-23T00:00:00.000Z,103.172.167.96,192.168.1.121,FTP,blocked,malicious,application,22254,Nmap Scripting Engine,/files?UNION SELECT,true,false
2024-02-16T00:00:00.000Z,109.153.17.99,192.168.1.123,UDP,allowed,malicious,ids,25005,Nmap Scripting Engine,/?DROP TABLE,true,false
2024-10-23T00:00:00.000Z,109.9.8.24,192.168.1.192,FTP,blocked,malicious,application,13069,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/upload?UNION SELECT,true,false
