timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path,is_sqli,is_xss
2024-07-19T00:00:00.000Z,137.197.33.33,192.168.1.163,HTTP,allowed,malicious,firewall,5227,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/index.php?DROP TABLE,true,false
2024-10-26T00:00:00.000Z,21.22.188.125,192.168.1.116,HTTPS,allowed,malicious,application,27895,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/secure?UNION SELECT,true,false
2024-07-30T00:00:00.000Z,150.110.230.150,192.168.1.230,HTTPS,blocked,malicious,application,23121,curl/7.64.1,/login?DROP TABLE,true,false
2024-08-29T00:00:00.000Z,103.93.57.36,192.168.1.220,HTTPS,blocked,malicious,application,16985,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/auth?DROP TABLE,true,false
2024-12-18T00:00:00.000Z,192.168.1.221,192.168.1.13,SSH,blocked,malicious,ids,27426,Nmap Scripting Engine,/root?UNION SELECT,true,false
2024-07-05T00:00:00.000Z,192.168.1.95,192.168.1.181,SSH,blocked,malicious,firewall,11109,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/etc/passwd?DROP TABLE,true,false
2024-01-17T00:00:00.000Z,24.98.25.92,192.168.1.96,TCP,blocked,malicious,ids,16891,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/?DROP TABLE,true,false
2024-09-18T00:00:00.000Z,192.168.1.131,192.168.1.43,SSH,blocked,malicious,application,951,SQLMap/1.6-dev,/etc/passwd?DROP TABLE,true,false
2024-06-28T00:00:00.000Z,95.91.54.172,192.168.1.138,HTTPS,allowed,malicious,ids,20646,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/admin/config?UNION SELECT,true,false
2024-06-08T00:00:00.000Z,49.138.115.36,192.168.1.201,HTTP,allowed,malicious,ids,26879,Nmap Scripting Engine,/dashboard?UNION SELECT,true,false
2024-06-26T00:00:00.000Z,65.249.142.221,192.168.1.213,HTTP,allowed,malicious,firewall,23708,Nmap Scripting Engine,/dashboard?UNION SELECT,true,false
2024-01-16T00:00:00.000Z,242.3.175.185,192.168.1.180,TCP,blocked,malicious,firewall,49574,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/?UNION SELECT,true,false
2024-01-18T00:00:00.000Z,189.27.174.190,192.168.1.211,HTTPS,allowed,malicious,ids,47235,Nmap Scripting Engine,/admin/config?DROP TABLE,true,false
2024-09-19T00:00:00.000Z,246.196.87.27,192.168.1.123,HTTPS,allowed,malicious,firewall,47894,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/auth?DROP TABLE,true,false
2024-07-19T00:00:00.000Z,192.168.1.14,192.168.1.39,SSH,allowed,malicious,firewall,2252,curl/7.64.1,/etc/passwd?DROP TABLE,true,false
2024-01-25T00:00:00.000Z,192.168.1.62,192.168.1.197,SSH,allowed,malicious,application,34646,SQLMap/1.6-dev,/root?UNION SELECT,true,false
2024-08-12T00:00:00.000Z,192.168.1.54,192.168.1.79,SSH,blocked,malicious,application,47756,curl/7.64.1,/home/user?UNION SELECT,true,false
2024-11-19T00:00:00.000Z,192.168.1.20,192.168.1.129,SSH,allowed,malicious,ids,46660,curl/7.64.1,/etc/passwd?UNION SELECT,true,false
2024-08-02T00:00:00.000Z,168.128.102.227,192.168.1.123,HTTP,blocked,malicious,firewall,33472,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/dashboard?UNION SELECT,true,false
2024-10-31T00:00:00.000Z,55.139.34.186,192.168.1.128,TCP,allowed,malicious,application,11201,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/?UNION SELECT,true,false
2024-11-11T00:00:00.000Z,21.22.188.125,192.168.1.80,HTTP,blocked,malicious,application,14579,curl/7.64.1,/admin?DROP TABLE,true,false
2024-04-05T00:00:00.000Z,103.172.167.96,192.168.1.105,HTTPS,blocked,malicious,ids,43085,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/auth?UNION SELECT,true,false
2024-08-08T00:00:00.000Z,24.98.25.92,192.168.1.152,HTTPS,allowed,malicious,firewall,2488,Nmap Scripting Engine,/auth?DROP TABLE,true,false
2024-09-10T00:00:00.000Z,109.47.72.119,192.168.1.56,TCP,blocked,malicious,firewall,41456,SQLMap/1.6-dev,/?UNION SELECT,true,false
